YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,SPECIES_CD,density
2017,STTSTJ,AGRFDEEP,0,6360,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,0,6360,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6360,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6360,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6360,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6360,SPA VIRI,1.5
2017,STTSTJ,AGRFDEEP,1,6020,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6020,CEP FULV,2
2017,STTSTJ,AGRFDEEP,1,6020,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,1,6020,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6020,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6020,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6020,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,1,6020,SPA VIRI,0
2017,STTSTJ,AGRFDEEP,1,6025,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6025,CEP FULV,0
2017,STTSTJ,AGRFDEEP,1,6025,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,1,6025,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6025,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6025,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6025,OCY CHRY,0.5
2017,STTSTJ,AGRFDEEP,1,6025,SPA VIRI,0.5
2017,STTSTJ,AGRFDEEP,1,6026,BAL VETU,0.5
2017,STTSTJ,AGRFDEEP,1,6026,CEP FULV,0
2017,STTSTJ,AGRFDEEP,1,6026,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,1,6026,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6026,LUT ANAL,0.5
2017,STTSTJ,AGRFDEEP,1,6026,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6026,OCY CHRY,6.5
2017,STTSTJ,AGRFDEEP,1,6026,SPA VIRI,0.5
2017,STTSTJ,AGRFDEEP,1,6027,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6027,CEP FULV,0
2017,STTSTJ,AGRFDEEP,1,6027,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,1,6027,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6027,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6027,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6027,OCY CHRY,0.5
2017,STTSTJ,AGRFDEEP,1,6027,SPA VIRI,2.5
2017,STTSTJ,AGRFDEEP,1,6028,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6028,CEP FULV,0
2017,STTSTJ,AGRFDEEP,1,6028,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,1,6028,LAC MAXI,0.5
2017,STTSTJ,AGRFDEEP,1,6028,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6028,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6028,OCY CHRY,10.5
2017,STTSTJ,AGRFDEEP,1,6028,SPA VIRI,12.5
2017,STTSTJ,AGRFDEEP,1,6029,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6029,CEP FULV,0
